# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Grid: -8.0 to 20.0 MeV, 0.1 MeV step
# Radial grid: 0.1 to 15.0 fm, 0.1 fm step
#
# Columns: E(MeV)  k  r(fm)  V(MeV)  W(MeV)
   0.00000   2    4.900000   -7.985964e+00   -3.886285e+00
   0.00000   2    5.000000   -6.616592e+00   -3.564093e+00
   0.00000   2    5.100000   -5.370359e+00   -3.227135e+00
   0.00000   2    5.200000   -4.244724e+00   -2.888410e+00
   0.00000   2    5.300000   -3.235126e+00   -2.558577e+00
   0.00000   2    5.400000   -2.335491e+00   -2.245682e+00
   0.00000   2    5.500000   -1.538703e+00   -1.955217e+00
   0.00000   2    5.600000   -8.370168e-01   -1.690408e+00
   0.00000   2    5.700000   -2.224063e-01   -1.452615e+00
   0.00000   2    5.800000    3.131645e-01   -1.241778e+00
   0.00000   2    5.900000    7.775290e-01   -1.056820e+00
   0.00000   2    6.000000    1.178167e+00   -8.960061e-01
   0.00000   2    6.100000    1.522103e+00   -7.572261e-01
   0.00000   2    6.200000    1.815846e+00   -6.382077e-01
   0.00000   2    6.300000    2.065356e+00   -5.366693e-01
   0.00000   2    6.400000    2.276044e+00   -4.504210e-01
   0.00000   2    6.500000    2.452784e+00   -3.774270e-01
   0.00000   2    6.600000    2.599931e+00   -3.158377e-01
   0.00000   2    6.700000    2.721361e+00   -2.640026e-01
   0.00000   2    6.800000    2.820504e+00   -2.204688e-01
   0.00000   2    6.900000    2.900381e+00   -1.839708e-01
   0.00000   2    7.000000    2.963648e+00   -1.534160e-01
   0.00000   2    7.100000    3.012627e+00   -1.278676e-01
   0.00000   2    7.200000    3.049345e+00   -1.065267e-01
   0.00000   2    7.300000    3.075570e+00   -8.871531e-02
   0.00000   2    7.400000    3.092834e+00   -7.385986e-02
   0.00000   2    7.500000    3.102470e+00   -6.147686e-02
   0.00000   2    7.600000    3.105629e+00   -5.115969e-02
   0.00000   2    7.700000    3.103307e+00   -4.256704e-02
   0.00000   2    7.800000    3.096364e+00   -3.541294e-02
   0.00000   2    7.900000    3.085541e+00   -2.945813e-02
   0.00000   2    8.000000    3.071475e+00   -2.450261e-02
   0.00000   2    8.100000    3.054715e+00   -2.037942e-02
   0.00000   2    8.200000    3.035731e+00   -1.694923e-02
   0.00000   2    8.300000    3.014927e+00   -1.409591e-02
   0.00000   2    8.400000    2.992647e+00   -1.172264e-02
   0.00000   2    8.500000    2.969189e+00   -9.748811e-03
   0.00000   2    8.600000    2.944803e+00   -8.107272e-03
   0.00000   2    8.700000    2.919704e+00   -6.742142e-03
   0.00000   2    8.800000    2.894075e+00   -5.606910e-03
   0.00000   2    8.900000    2.868071e+00   -4.662878e-03
   0.00000   2    9.000000    2.841823e+00   -3.877852e-03
   0.00000   2    9.100000    2.815443e+00   -3.225054e-03
   0.00000   2    9.200000    2.789022e+00   -2.682209e-03
   0.00000   2    9.300000    2.762641e+00   -2.230794e-03
   0.00000   2    9.400000    2.736363e+00   -1.855406e-03
   0.00000   2    9.500000    2.710243e+00   -1.543235e-03
   0.00000   2    9.600000    2.684327e+00   -1.283631e-03
   0.00000   2    9.700000    2.658650e+00   -1.067736e-03
   0.00000   2    9.800000    2.633244e+00   -8.881864e-04
   0.00000   2    9.900000    2.608131e+00   -7.388599e-04
   0.00000   2   10.000000    2.583330e+00   -6.146652e-04
   0.00000   2   10.100000    2.558858e+00   -5.113691e-04
   0.00000   2   10.200000    2.534723e+00   -4.254520e-04
   0.00000   2   10.300000    2.510936e+00   -3.539873e-04
   0.00000   2   10.400000    2.487501e+00   -2.945417e-04
   0.00000   2   10.500000    2.464422e+00   -2.450917e-04
   0.00000   2   10.600000    2.441699e+00   -2.039549e-04
   0.00000   2   10.700000    2.419334e+00   -1.697322e-04
   0.00000   2   10.800000    2.397324e+00   -1.412601e-04
   0.00000   2   10.900000    2.375668e+00   -1.175713e-04
   0.00000   2   11.000000    2.354363e+00   -9.786117e-05
   0.00000   2   11.100000    2.333403e+00   -8.146060e-05
   0.00000   2   11.200000    2.312786e+00   -6.781316e-05
   0.00000   2   11.300000    2.292506e+00   -5.645605e-05
   0.00000   2   11.400000    2.272557e+00   -4.700436e-05
   0.00000   2   11.500000    2.252934e+00   -3.913795e-05
   0.00000   2   11.600000    2.233632e+00   -3.259051e-05
   0.00000   2   11.700000    2.214645e+00   -2.714055e-05
   0.00000   2   11.800000    2.195965e+00   -2.260381e-05
   0.00000   2   11.900000    2.177589e+00   -1.882701e-05
   0.00000   2   12.000000    2.159508e+00   -1.568262e-05
   0.00000   2   12.100000    2.141718e+00   -1.306457e-05
   0.00000   2   12.200000    2.124212e+00   -1.088458e-05
   0.00000   2   12.300000    2.106984e+00   -9.069221e-06
   0.00000   2   12.400000    2.090029e+00   -7.557375e-06
   0.00000   2   12.500000    2.073340e+00   -6.298195e-06
   0.00000   2   12.600000    2.056913e+00   -5.249365e-06
   0.00000   2   12.700000    2.040740e+00   -4.375667e-06
   0.00000   2   12.800000    2.024817e+00   -3.647793e-06
   0.00000   2   12.900000    2.009138e+00   -3.041346e-06
   0.00000   2   13.000000    1.993698e+00   -2.536021e-06
   0.00000   2   13.100000    1.978492e+00   -2.114913e-06
   0.00000   2   13.200000    1.963514e+00   -1.763951e-06
   0.00000   2   13.300000    1.948761e+00   -1.471420e-06
   0.00000   2   13.400000    1.934226e+00   -1.227564e-06
   0.00000   2   13.500000    1.919906e+00   -1.024261e-06
   0.00000   2   13.600000    1.905795e+00   -8.547487e-07
   0.00000   2   13.700000    1.891889e+00   -7.133926e-07
   0.00000   2   13.800000    1.878184e+00   -5.955018e-07
   0.00000   2   13.900000    1.864676e+00   -4.971685e-07
   0.00000   2   14.000000    1.851361e+00   -4.151376e-07
   0.00000   2   14.100000    1.838233e+00   -3.466971e-07
   0.00000   2   14.200000    1.825291e+00   -2.895875e-07
   0.00000   2   14.300000    1.812528e+00   -2.419262e-07
   0.00000   2   14.400000    1.799943e+00   -2.021441e-07
   0.00000   2   14.500000    1.787532e+00   -1.689339e-07
   0.00000   2   14.600000    1.775290e+00   -1.412054e-07
   0.00000   2   14.700000    1.763214e+00   -1.180503e-07
   0.00000   2   14.800000    1.751301e+00   -9.871110e-08
   0.00000   2   14.900000    1.739549e+00   -8.255623e-08
   0.00000   2   15.000000    1.727952e+00   -6.905908e-08
   1.00000   1    0.100000   -5.170643e+01   -2.760281e-01
   1.00000   1    0.200000   -5.168343e+01   -2.774090e-01
   1.00000   1    0.300000   -5.165676e+01   -2.790769e-01
   1.00000   1    0.400000   -5.162585e+01   -2.810909e-01
   1.00000   1    0.500000   -5.159002e+01   -2.835225e-01
   1.00000   1    0.600000   -5.154851e+01   -2.864577e-01
   1.00000   1    0.700000   -5.150041e+01   -2.899999e-01
   1.00000   1    0.800000   -5.144471e+01   -2.942737e-01
   1.00000   1    0.900000   -5.138022e+01   -2.994291e-01
   1.00000   1    1.000000   -5.130559e+01   -3.056459e-01
   1.00000   1    1.100000   -5.121924e+01   -3.131406e-01
   1.00000   1    1.200000   -5.111941e+01   -3.221725e-01
   1.00000   1    1.300000   -5.100404e+01   -3.330526e-01
   1.00000   1    1.400000   -5.087080e+01   -3.461527e-01
   1.00000   1    1.500000   -5.071705e+01   -3.619174e-01
   1.00000   1    1.600000   -5.053978e+01   -3.808765e-01
   1.00000   1    1.700000   -5.033561e+01   -4.036602e-01
   1.00000   1    1.800000   -5.010074e+01   -4.310154e-01
   1.00000   1    1.900000   -4.983090e+01   -4.638251e-01
   1.00000   1    2.000000   -4.952138e+01   -5.031273e-01
   1.00000   1    2.100000   -4.916696e+01   -5.501366e-01
   1.00000   1    2.200000   -4.876198e+01   -6.062640e-01
   1.00000   1    2.300000   -4.830028e+01   -6.731354e-01
   1.00000   1    2.400000   -4.777532e+01   -7.526048e-01
   1.00000   1    2.500000   -4.718025e+01   -8.467580e-01
   1.00000   1    2.600000   -4.650799e+01   -9.579020e-01
   1.00000   1    2.700000   -4.575146e+01   -1.088532e+00
   1.00000   1    2.800000   -4.490380e+01   -1.241265e+00
   1.00000   1    2.900000   -4.395865e+01   -1.418732e+00
   1.00000   1    3.000000   -4.291049e+01   -1.623408e+00
   1.00000   1    3.100000   -4.175510e+01   -1.857373e+00
   1.00000   1    3.200000   -4.048991e+01   -2.121995e+00
   1.00000   1    3.300000   -3.911452e+01   -2.417526e+00
   1.00000   1    3.400000   -3.763109e+01   -2.742622e+00
   1.00000   1    3.500000   -3.604470e+01   -3.093835e+00
   1.00000   1    3.600000   -3.436356e+01   -3.465121e+00
   1.00000   1    3.700000   -3.259910e+01   -3.847482e+00
   1.00000   1    3.800000   -3.076585e+01   -4.228845e+00
   1.00000   1    3.900000   -2.888103e+01   -4.594331e+00
   1.00000   1    4.000000   -2.696401e+01   -4.927009e+00
   1.00000   1    4.100000   -2.503554e+01   -5.209162e+00
   1.00000   1    4.200000   -2.311687e+01   -5.423997e+00
   1.00000   1    4.300000   -2.122884e+01   -5.557545e+00
   1.00000   1    4.400000   -1.939094e+01   -5.600448e+00
   1.00000   1    4.500000   -1.762060e+01   -5.549241e+00
   1.00000   1    4.600000   -1.593255e+01   -5.406853e+00
   1.00000   1    4.700000   -1.433848e+01   -5.182198e+00
   1.00000   1    4.800000   -1.284685e+01   -4.888965e+00
   1.00000   1    4.900000   -1.146298e+01   -4.543868e+00
   1.00000   1    5.000000   -1.018923e+01   -4.164730e+00
   1.00000   1    5.100000   -9.025390e+00   -3.768744e+00
   1.00000   1    5.200000   -7.969059e+00   -3.371141e+00
   1.00000   1    5.300000   -7.016106e+00   -2.984383e+00
   1.00000   1    5.400000   -6.161109e+00   -2.617844e+00
   1.00000   1    5.500000   -5.397759e+00   -2.277894e+00
   1.00000   1    5.600000   -4.719218e+00   -1.968239e+00
   1.00000   1    5.700000   -4.118413e+00   -1.690407e+00
   1.00000   1    5.800000   -3.588273e+00   -1.444261e+00
   1.00000   1    5.900000   -3.121911e+00   -1.228491e+00
   1.00000   1    6.000000   -2.712755e+00   -1.041020e+00
   1.00000   1    6.100000   -2.354631e+00   -8.793443e-01
   1.00000   1    6.200000   -2.041821e+00   -7.407793e-01
   1.00000   1    6.300000   -1.769082e+00   -6.226371e-01
   1.00000   1    6.400000   -1.531653e+00   -5.223436e-01
   1.00000   1    6.500000   -1.325247e+00   -4.375094e-01
   1.00000   1    6.600000   -1.146023e+00   -3.659676e-01
   1.00000   1    6.700000   -9.905617e-01   -3.057864e-01
   1.00000   1    6.800000   -8.558331e-01   -2.552672e-01
   1.00000   1    6.900000   -7.391629e-01   -2.129321e-01
   1.00000   1    7.000000   -6.381986e-01   -1.775063e-01
   1.00000   1    7.100000   -5.508766e-01   -1.478975e-01
   1.00000   1    7.200000   -4.753916e-01   -1.231748e-01
   1.00000   1    7.300000   -4.101674e-01   -1.025488e-01
   1.00000   1    7.400000   -3.538304e-01   -8.535232e-02
   1.00000   1    7.500000   -3.051854e-01   -7.102299e-02
   1.00000   1    7.600000   -2.631940e-01   -5.908827e-02
   1.00000   1    7.700000   -2.269549e-01   -4.915171e-02
   1.00000   1    7.800000   -1.956867e-01   -4.088130e-02
   1.00000   1    7.900000   -1.687122e-01   -3.399939e-02
   1.00000   1    8.000000   -1.454456e-01   -2.827401e-02
   1.00000   1    8.100000   -1.253799e-01   -2.351159e-02
   1.00000   1    8.200000   -1.080766e-01   -1.955066e-02
   1.00000   1    8.300000   -9.315699e-02   -1.625667e-02
   1.00000   1    8.400000   -8.029379e-02   -1.351754e-02
   1.00000   1    8.500000   -6.920438e-02   -1.123993e-02
   1.00000   1    8.600000   -5.964477e-02   -9.346160e-03
   1.00000   1    8.700000   -5.140438e-02   -7.771586e-03
   1.00000   1    8.800000   -4.430148e-02   -6.462427e-03
   1.00000   1    8.900000   -3.817932e-02   -5.373950e-03
   1.00000   1    9.000000   -3.290266e-02   -4.468953e-03
   1.00000   1    9.100000   -2.835487e-02   -3.716498e-03
   1.00000   1    9.200000   -2.443539e-02   -3.090864e-03
   1.00000   1    9.300000   -2.105747e-02   -2.570664e-03
   1.00000   1    9.400000   -1.814634e-02   -2.138118e-03
   1.00000   1    9.500000   -1.563755e-02   -1.778444e-03
   1.00000   1    9.600000   -1.347552e-02   -1.479356e-03
   1.00000   1    9.700000   -1.161234e-02   -1.230637e-03
   1.00000   1    9.800000   -1.000672e-02   -1.023796e-03
   1.00000   1    9.900000   -8.623070e-03   -8.517733e-04
   1.00000   1   10.000000   -7.430714e-03   -7.087016e-04
   1.00000   1   10.100000   -6.403210e-03   -5.897020e-04
   1.00000   1   10.200000   -5.517772e-03   -4.907188e-04
   1.00000   1   10.300000   -4.754762e-03   -4.083805e-04
   1.00000   1   10.400000   -4.097254e-03   -3.398839e-04
   1.00000   1   10.500000   -3.530663e-03   -2.828985e-04
   1.00000   1   10.600000   -3.042418e-03   -2.354868e-04
   1.00000   1   10.700000   -2.621688e-03   -1.960376e-04
   1.00000   1   10.800000   -2.259138e-03   -1.632115e-04
   1.00000   1   10.900000   -1.946722e-03   -1.358943e-04
   1.00000   1   11.000000   -1.677509e-03   -1.131600e-04
   1.00000   1   11.100000   -1.445524e-03   -9.423816e-05
   1.00000   1   11.200000   -1.245620e-03   -7.848817e-05
   1.00000   1   11.300000   -1.073361e-03   -6.537724e-05
   1.00000   1   11.400000   -9.249229e-04   -5.446223e-05
   1.00000   1   11.500000   -7.970127e-04   -4.537452e-05
   1.00000   1   11.600000   -6.867913e-04   -3.780751e-05
   1.00000   1   11.700000   -5.918125e-04   -3.150613e-05
   1.00000   1   11.800000   -5.099686e-04   -2.625816e-05
   1.00000   1   11.900000   -4.394431e-04   -2.188708e-05
   1.00000   1   12.000000   -3.786708e-04   -1.824596e-05
   1.00000   1   12.100000   -3.263028e-04   -1.521259e-05
   1.00000   1   12.200000   -2.811770e-04   -1.268523e-05
   1.00000   1   12.300000   -2.422918e-04   -1.057924e-05
   1.00000   1   12.400000   -2.087842e-04   -8.824151e-06
   1.00000   1   12.500000   -1.799105e-04   -7.361320e-06
   1.00000   1   12.600000   -1.550298e-04   -6.141924e-06
   1.00000   1   12.700000   -1.335900e-04   -5.125321e-06
   1.00000   1   12.800000   -1.151152e-04   -4.277672e-06
   1.00000   1   12.900000   -9.919541e-05   -3.570801e-06
   1.00000   1   13.000000   -8.547720e-05   -2.981242e-06
   1.00000   1   13.100000   -7.365615e-05   -2.489456e-06
   1.00000   1   13.200000   -6.346989e-05   -2.079166e-06
   1.00000   1   13.300000   -5.469233e-05   -1.736815e-06
   1.00000   1   13.400000   -4.712866e-05   -1.451106e-06
   1.00000   1   13.500000   -4.061100e-05   -1.212631e-06
   1.00000   1   13.600000   -3.499471e-05   -1.013546e-06
   1.00000   1   13.700000   -3.015512e-05   -8.473179e-07
   1.00000   1   13.800000   -2.598482e-05   -7.084985e-07
   1.00000   1   13.900000   -2.239125e-05   -5.925478e-07
   1.00000   1   14.000000   -1.929465e-05   -4.956805e-07
   1.00000   1   14.100000   -1.662630e-05   -4.147405e-07
   1.00000   1   14.200000   -1.432697e-05   -3.470957e-07
   1.00000   1   14.300000   -1.234562e-05   -2.905511e-07
   1.00000   1   14.400000   -1.063828e-05   -2.432755e-07
   1.00000   1   14.500000   -9.167060e-06   -2.037411e-07
   1.00000   1   14.600000   -7.899302e-06   -1.706734e-07
   1.00000   1   14.700000   -6.806868e-06   -1.430085e-07
   1.00000   1   14.800000   -5.865512e-06   -1.198584e-07
   1.00000   1   14.900000   -5.054341e-06   -1.004820e-07
   1.00000   1   15.000000   -4.355351e-06   -8.426035e-08
   1.00000   2    0.100000   -5.060660e+01   -2.047290e-01
   1.00000   2    0.200000   -5.058473e+01   -2.061443e-01
   1.00000   2    0.300000   -5.056170e+01   -2.078511e-01
   1.00000   2    0.400000   -5.053683e+01   -2.099092e-01
   1.00000   2    0.500000   -5.050937e+01   -2.123905e-01
   1.00000   2    0.600000   -5.047842e+01   -2.153815e-01
   1.00000   2    0.700000   -5.044296e+01   -2.189864e-01
   1.00000   2    0.800000   -5.040180e+01   -2.233301e-01
   1.00000   2    0.900000   -5.035359e+01   -2.285631e-01
   1.00000   2    1.000000   -5.029677e+01   -2.348657e-01
   1.00000   2    1.100000   -5.022953e+01   -2.424543e-01
   1.00000   2    1.200000   -5.014984e+01   -2.515884e-01
   1.00000   2    1.300000   -5.005533e+01   -2.625785e-01
   1.00000   2    1.400000   -4.994333e+01   -2.757958e-01
   1.00000   2    1.500000   -4.981080e+01   -2.916831e-01
   1.00000   2    1.600000   -4.965428e+01   -3.107680e-01
   1.00000   2    1.700000   -4.946989e+01   -3.336771e-01
   1.00000   2    1.800000   -4.925323e+01   -3.611524e-01
   1.00000   2    1.900000   -4.899944e+01   -3.940700e-01
   1.00000   2    2.000000   -4.870306e+01   -4.334585e-01
   1.00000   2    2.100000   -4.835813e+01   -4.805200e-01
   1.00000   2    2.200000   -4.795810e+01   -5.366494e-01
   1.00000   2    2.300000   -4.749591e+01   -6.034516e-01
   1.00000   2    2.400000   -4.696405e+01   -6.827541e-01
   1.00000   2    2.500000   -4.635462e+01   -7.766098e-01
   1.00000   2    2.600000   -4.565949e+01   -8.872852e-01
   1.00000   2    2.700000   -4.487054e+01   -1.017227e+00
   1.00000   2    2.800000   -4.397985e+01   -1.168996e+00
   1.00000   2    2.900000   -4.298012e+01   -1.345159e+00
   1.00000   2    3.000000   -4.186502e+01   -1.548120e+00
   1.00000   2    3.100000   -4.062967e+01   -1.779889e+00
   1.00000   2    3.200000   -3.927113e+01   -2.041767e+00
   1.00000   2    3.300000   -3.778895e+01   -2.333950e+00
   1.00000   2    3.400000   -3.618559e+01   -2.655070e+00
   1.00000   2    3.500000   -3.446690e+01   -3.001690e+00
   1.00000   2    3.600000   -3.264233e+01   -3.367843e+00
   1.00000   2    3.700000   -3.072503e+01   -3.744677e+00
   1.00000   2    3.800000   -2.873167e+01   -4.120354e+00
   1.00000   2    3.900000   -2.668207e+01   -4.480320e+00
   1.00000   2    4.000000   -2.459850e+01   -4.808036e+00
   1.00000   2    4.100000   -2.250481e+01   -5.086228e+00
   1.00000   2    4.200000   -2.042546e+01   -5.298532e+00
   1.00000   2    4.300000   -1.838437e+01   -5.431346e+00
   1.00000   2    4.400000   -1.640397e+01   -5.475557e+00
   1.00000   2    4.500000   -1.449943e+01   -5.427777e+00
   1.00000   2    4.600000   -1.268381e+01   -5.290832e+00
   1.00000   2    4.700000   -1.097091e+01   -5.073367e+00
   1.00000   2    4.800000   -9.370800e+00   -4.788676e+00
   1.00000   2    4.900000   -7.889891e+00   -4.453007e+00
   1.00000   2    5.000000   -6.531195e+00   -4.083712e+00
   1.00000   2    5.100000   -5.294716e+00   -3.697554e+00
   1.00000   2    5.200000   -4.177934e+00   -3.309413e+00
   1.00000   2    5.300000   -3.176323e+00   -2.931489e+00
   1.00000   2    5.400000   -2.283854e+00   -2.572991e+00
   1.00000   2    5.500000   -1.493463e+00   -2.240203e+00
   1.00000   2    5.600000   -7.974643e-01   -1.936815e+00
   1.00000   2    5.700000   -1.878892e-01   -1.664383e+00
   1.00000   2    5.800000    3.432384e-01   -1.422834e+00
   1.00000   2    5.900000    8.036942e-01   -1.210934e+00
   1.00000   2    6.000000    1.200903e+00   -1.026693e+00
   1.00000   2    6.100000    1.541838e+00   -8.676943e-01
   1.00000   2    6.200000    1.832958e+00   -7.313340e-01
   1.00000   2    6.300000    2.080183e+00   -6.149984e-01
   1.00000   2    6.400000    2.288881e+00   -5.161792e-01
   1.00000   2    6.500000    2.463891e+00   -4.325439e-01
   1.00000   2    6.600000    2.609536e+00   -3.619742e-01
   1.00000   2    6.700000    2.729663e+00   -3.025793e-01
   1.00000   2    6.800000    2.827677e+00   -2.526947e-01
   1.00000   2    6.900000    2.906576e+00   -2.108710e-01
   1.00000   2    7.000000    2.968997e+00   -1.758566e-01
   1.00000   2    7.100000    3.017244e+00   -1.465781e-01
   1.00000   2    7.200000    3.053330e+00   -1.221206e-01
   1.00000   2    7.300000    3.079007e+00   -1.017071e-01
   1.00000   2    7.400000    3.095800e+00   -8.468072e-02
   1.00000   2    7.500000    3.105028e+00   -7.048749e-02
   1.00000   2    7.600000    3.107835e+00   -5.866154e-02
   1.00000   2    7.700000    3.105209e+00   -4.881183e-02
   1.00000   2    7.800000    3.098004e+00   -4.061073e-02
   1.00000   2    7.900000    3.086955e+00   -3.378408e-02
   1.00000   2    8.000000    3.072694e+00   -2.810272e-02
   1.00000   2    8.100000    3.055766e+00   -2.337535e-02
   1.00000   2    8.200000    3.036637e+00   -1.944230e-02
   1.00000   2    8.300000    3.015707e+00   -1.617049e-02
   1.00000   2    8.400000    2.993320e+00   -1.344898e-02
   1.00000   2    8.500000    2.969769e+00   -1.118536e-02
   1.00000   2    8.600000    2.945303e+00   -9.302706e-03
   1.00000   2    8.700000    2.920135e+00   -7.736949e-03
   1.00000   2    8.800000    2.894446e+00   -6.434786e-03
   1.00000   2    8.900000    2.868391e+00   -5.351858e-03
   1.00000   2    9.000000    2.842099e+00   -4.451263e-03
   1.00000   2    9.100000    2.815680e+00   -3.702302e-03
   1.00000   2    9.200000    2.789227e+00   -3.079440e-03
   1.00000   2    9.300000    2.762817e+00   -2.561443e-03
   1.00000   2    9.400000    2.736515e+00   -2.130648e-03
   1.00000   2    9.500000    2.710374e+00   -1.772369e-03
   1.00000   2    9.600000    2.684440e+00   -1.474392e-03
   1.00000   2    9.700000    2.658748e+00   -1.226561e-03
   1.00000   2    9.800000    2.633328e+00   -1.020432e-03
   1.00000   2    9.900000    2.608203e+00   -8.489820e-04
   1.00000   2   10.000000    2.583393e+00   -7.063717e-04
   1.00000   2   10.100000    2.558911e+00   -5.877457e-04
   1.00000   2   10.200000    2.534770e+00   -4.890665e-04
   1.00000   2   10.300000    2.510976e+00   -4.069767e-04
   1.00000   2   10.400000    2.487535e+00   -3.386845e-04
   1.00000   2   10.500000    2.464451e+00   -2.818682e-04
   1.00000   2   10.600000    2.441725e+00   -2.345972e-04
   1.00000   2   10.700000    2.419356e+00   -1.952660e-04
   1.00000   2   10.800000    2.397343e+00   -1.625392e-04
   1.00000   2   10.900000    2.375685e+00   -1.353065e-04
   1.00000   2   11.000000    2.354377e+00   -1.126442e-04
   1.00000   2   11.100000    2.333416e+00   -9.378428e-05
   1.00000   2   11.200000    2.312796e+00   -7.808779e-05
   1.00000   2   11.300000    2.292515e+00   -6.502333e-05
   1.00000   2   11.400000    2.272565e+00   -5.414887e-05
   1.00000   2   11.500000    2.252941e+00   -4.509670e-05
   1.00000   2   11.600000    2.233638e+00   -3.756095e-05
   1.00000   2   11.700000    2.214650e+00   -3.128713e-05
   1.00000   2   11.800000    2.195970e+00   -2.606356e-05
   1.00000   2   11.900000    2.177592e+00   -2.171409e-05
   1.00000   2   12.000000    2.159511e+00   -1.809218e-05
   1.00000   2   12.100000    2.141721e+00   -1.507588e-05
   1.00000   2   12.200000    2.124214e+00   -1.256372e-05
   1.00000   2   12.300000    2.106987e+00   -1.047126e-05
   1.00000   2   12.400000    2.090031e+00   -8.728231e-06
   1.00000   2   12.500000    2.073342e+00   -7.276149e-06
   1.00000   2   12.600000    2.056914e+00   -6.066335e-06
   1.00000   2   12.700000    2.040741e+00   -5.058272e-06
   1.00000   2   12.800000    2.024818e+00   -4.218231e-06
   1.00000   2   12.900000    2.009139e+00   -3.518136e-06
   1.00000   2   13.000000    1.993699e+00   -2.934610e-06
   1.00000   2   13.100000    1.978492e+00   -2.448191e-06
   1.00000   2   13.200000    1.963515e+00   -2.042675e-06
   1.00000   2   13.300000    1.948761e+00   -1.704565e-06
   1.00000   2   13.400000    1.934226e+00   -1.422624e-06
   1.00000   2   13.500000    1.919906e+00   -1.187492e-06
   1.00000   2   13.600000    1.905795e+00   -9.913721e-07
   1.00000   2   13.700000    1.891889e+00   -8.277712e-07
   1.00000   2   13.800000    1.878185e+00   -6.912788e-07
   1.00000   2   13.900000    1.864676e+00   -5.773874e-07
   1.00000   2   14.000000    1.851361e+00   -4.823412e-07
   1.00000   2   14.100000    1.838233e+00   -4.030104e-07
   1.00000   2   14.200000    1.825291e+00   -3.367867e-07
   1.00000   2   14.300000    1.812529e+00   -2.814961e-07
   1.00000   2   14.400000    1.799943e+00   -2.353263e-07
   1.00000   2   14.500000    1.787532e+00   -1.967665e-07
   1.00000   2   14.600000    1.775290e+00   -1.645571e-07
   1.00000   2   14.700000    1.763214e+00   -1.376476e-07
   1.00000   2   14.800000    1.751301e+00   -1.151620e-07
   1.00000   2   14.900000    1.739549e+00   -9.636969e-08
   1.00000   2   15.000000    1.727952e+00   -8.066114e-08
   2.00000   1    0.100000   -5.132938e+01   -3.252733e-01
   2.00000   1    0.200000   -5.130655e+01   -3.267285e-01
   2.00000   1    0.300000   -5.128007e+01   -3.284868e-01
   2.00000   1    0.400000   -5.124939e+01   -3.306107e-01
   2.00000   1    0.500000   -5.121382e+01   -3.331759e-01
   2.00000   1    0.600000   -5.117261e+01   -3.362734e-01
   2.00000   1    0.700000   -5.112487e+01   -3.400128e-01
   2.00000   1    0.800000   -5.106957e+01   -3.445259e-01
   2.00000   1    0.900000   -5.100555e+01   -3.499716e-01
   2.00000   1    1.000000   -5.093146e+01   -3.565404e-01
   2.00000   1    1.100000   -5.084575e+01   -3.644617e-01
   2.00000   1    1.200000   -5.074664e+01   -3.740102e-01
   2.00000   1    1.300000   -5.063211e+01   -3.855156e-01
   2.00000   1    1.400000   -5.049984e+01   -3.993721e-01
   2.00000   1    1.500000   -5.034721e+01   -4.160511e-01
   2.00000   1    1.600000   -5.017124e+01   -4.361144e-01
   2.00000   1    1.700000   -4.996856e+01   -4.602303e-01
   2.00000   1    1.800000   -4.973540e+01   -4.891916e-01
   2.00000   1    1.900000   -4.946753e+01   -5.239347e-01
   2.00000   1    2.000000   -4.916026e+01   -5.655613e-01
   2.00000   1    2.100000   -4.880843e+01   -6.153604e-01
   2.00000   1    2.200000   -4.840640e+01   -6.748299e-01
   2.00000   1    2.300000   -4.794807e+01   -7.456959e-01
   2.00000   1    2.400000   -4.742694e+01   -8.299269e-01
   2.00000   1    2.500000   -4.683620e+01   -9.297379e-01
   2.00000   1    2.600000   -4.616884e+01   -1.047579e+00
   2.00000   1    2.700000   -4.541783e+01   -1.186101e+00
   2.00000   1    2.800000   -4.457635e+01   -1.348085e+00
   2.00000   1    2.900000   -4.363809e+01   -1.536324e+00
   2.00000   1    3.000000   -4.259759e+01   -1.753448e+00
   2.00000   1    3.100000   -4.145061e+01   -2.001670e+00
   2.00000   1    3.200000   -4.019465e+01   -2.282444e+00
   2.00000   1    3.300000   -3.882929e+01   -2.596034e+00
   2.00000   1    3.400000   -3.735668e+01   -2.941015e+00
   2.00000   1    3.500000   -3.578185e+01   -3.313719e+00
   2.00000   1    3.600000   -3.411297e+01   -3.707724e+00
   2.00000   1    3.700000   -3.236139e+01   -4.113460e+00
   2.00000   1    3.800000   -3.054150e+01   -4.518092e+00
   2.00000   1    3.900000   -2.867043e+01   -4.905801e+00
   2.00000   1    4.000000   -2.676738e+01   -5.258583e+00
   2.00000   1    4.100000   -2.485297e+01   -5.557603e+00
   2.00000   1    4.200000   -2.294830e+01   -5.785005e+00
   2.00000   1    4.300000   -2.107404e+01   -5.925940e+00
   2.00000   1    4.400000   -1.924954e+01   -5.970464e+00
   2.00000   1    4.500000   -1.749211e+01   -5.914901e+00
   2.00000   1    4.600000   -1.581637e+01   -5.762375e+00
   2.00000   1    4.700000   -1.423392e+01   -5.522379e+00
   2.00000   1    4.800000   -1.275317e+01   -5.209481e+00
   2.00000   1    4.900000   -1.137939e+01   -4.841468e+00
   2.00000   1    5.000000   -1.011493e+01   -4.437305e+00
